Hieroglyph,Gardiner,Description,Ideogram,,,,
𓋚,S8,Atef,Atef (ꜣtf),,,,
𓋚,U+132DA,crown,Atef (ꜣtf),,,,
𓋛,S9,shuty-crown (two falcon feathers)],shuty-crown (šwty),,,,
𓋛,U+132DB,shuty-crown (two falcon feathers)],shuty-crown (šwty),,,,
𓋜,S10,headband,Fillet (mḏḥ),,,,
𓋜,U+132DC,headband,Fillet (mḏḥ),,,,
𓋝,S11,broad collar,Broad collar (wsḫ),,,,
𓋝,U+132DD,broad collar,Broad collar (wsḫ),,,,
𓋞,S12,collar of beads,Gold (nbw),,,,
𓋞,U+132DE,collar of beads,Lord (nb) (Ptolemaic),,,,
𓋟,S13,combination of collar of beads and foot,Gold (nbw),,,,
𓋟,U+132DF,combination of collar of beads and foot,Lord (nb) (Ptolemaic),,,,
𓋠,S14,combination of collar of beads and mace with round head,Silver (ḥḏ),,,,
𓋠,U+132E0,combination of collar of beads and mace with round head,Silver (ḥḏ),,,,
𓋡,S14A,combination of collar of beads and sceptre,Electrum (ḏꜥm),,,,
𓋡,U+132E1,combination of collar of beads and sceptre,Electrum (ḏꜥm),,,,
𓋢,S14B,combination of collar of beads and sceptre,Electrum (ḏꜥm),,,,
𓋢,U+132E2,combination of collar of beads and sceptre,Electrum (ḏꜥm),,,,
𓋣,S15,pectoral,"Sparkle, gleam, glitter (ṯḥn)",,,,
𓋣,U+132E3,pectoral,Faience (ṯḥnt),,,,
𓋤,S16,pectoral,"Sparkle, gleam, glitter (ṯḥn)",,,,
𓋤,U+132E4,pectoral,Faience (ṯḥnt),,,,
𓋤,U+132E4,pectoral,Malachite (šsmt),,,,
𓋥,S17,pectoral,"Sparkle, gleam, glitter (ṯḥn)",,,,
𓋥,U+132E5,pectoral,Faience (ṯḥnt),,,,
𓋥,U+132E5,pectoral,Malachite (šsmt),,,,
𓋦,S17A,girdle,Malachite (šsmt),,,,
𓋦,U+132E6,girdle,Malachite (šsmt),,,,
𓋧,S18,"""menat",Menat (mnjt),,,,
𓋧,U+132E7,necklace,Menat (mnjt),,,,
𓋧,U+132E7,and,Menat (mnjt),,,,
𓋧,U+132E7,"counterpoise""",Menat (mnjt),,,,
𓋨,S19,seal,Seal (ḫtm),,,,
𓋨,U+132E8,with necklace,Seal-bearer (sḏꜣwty),,,,
𓋩,S20,necklace with seal,Seal (ḫtm),,,,
𓋩,U+132E9,necklace with seal,Seal-bearer (sḏꜣwty),,,,
𓋪,S21,ring,Ring (jwꜥw),,,,
𓋪,U+132EA,ring,Ring (jwꜥw),,,,
𓋫,S22,shoulder-knot,Shoot (stj),,,,
𓋫,U+132EB,shoulder-knot,Shesmetet (šsmtt),,,,
𓋬,S23,two whips,"Bring together, collect (dmḏ)",,,,
𓋬,U+132EC,with shen ring,"Bring together, collect (dmḏ)",,,,
𓋭,S24,girdle knot,"Bind, tie (ṯs)",,,,
𓋭,U+132ED,girdle knot,"Bind, tie (ṯs)",,,,
𓋮,S25,garment with ties,"Foreigner (ꜣꜥꜥ, jꜥꜣw)",,,,
𓋮,U+132EE,garment with ties,"Foreigner (ꜣꜥꜥ, jꜥꜣw)",,,,
𓋯,S26,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋯,U+132EF,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋰,S26A,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋰,U+132F0,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋱,S26B,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋱,U+132F1,apron,Shendyt kilt (šndyt/šnḏyt),,,,
𓋲,S27,cloth with two strands,Linen (mnḫt),,,,
𓋲,U+132F2,cloth with two strands,Linen (mnḫt),,,,
𓋳,S28,cloth with fringe on top and folded cloth,"Clothes, to clothe (ḥbs)",,,,
𓋳,U+132F3,cloth with fringe on top and folded cloth,'Be naked (ḥꜣy),,,,
𓋴,S29,folded cloth,"She, her, hers (.s) (Suffix pronoun)",,,,
𓋴,U+132F4,folded cloth,"She, her, hers (.s) (Suffix pronoun)",,,,
𓋵,S30,combination of folded cloth and horned viper,"She, her, hers (.s) (Suffix pronoun)",,,,
𓋵,U+132F5,combination of folded cloth and horned viper,"She, her, hers (.s) (Suffix pronoun)",,,,
𓋶,S31,combination of folded cloth and sickle,Slaughter (smꜣ),,,,
𓋶,U+132F6,combination of folded cloth and sickle,Slaughter (smꜣ),,,,
𓋷,S32,cloth with fringe on the side,Perceive (sjꜣ),,,,
𓋷,U+132F7,cloth with fringe on the side,Sia (sjꜣ),,,,
𓋸,S33,sandal,Sandal (ṯb),,,,
𓋸,U+132F8,sandal,Sandal (ṯb),,,,
𓋹,S34,life,"Life, to live (ꜥnḫ)",,,,
𓋹,U+132F9,"ankh, possibly representing a sandal-strap","Life, to live (ꜥnḫ)",,,,
𓋺,S35,sunshade,"Shadow, shade, sunshade (ḫꜣbyt, šwt)",,,,
𓋺,U+132FA,sunshade,Standard (sryt),,,,
𓋻,S35A,sunshade,"Shadow, shade, sunshade (ḫꜣbyt, šwt)",,,,
𓋻,U+132FB,sunshade,Standard (sryt),,,,
𓋼,S36,sunshade,"Shadow, shade, sunshade (ḫꜣbyt, šwt)",,,,
𓋼,U+132FC,sunshade,Standard (sryt),,,,
𓋽,S37,fan,Fan (ḫw),,,,
𓋽,U+132FD,fan,Protect (ḫwj),,,,
𓋾,S38,crook,"Rule, ruler (ḥqꜣ)",,,,
𓋾,U+132FE,crook,Scepter (ḥqꜣt),,,,
𓋿,S39,shepherd's crook,"Crook, scepter (ꜥwt)",,,,
𓋿,U+132FF,shepherd's crook,"Crook, scepter (ꜥwt)",,,,
𓌀,S40,wꜣs scepter,"Power, dominion (wꜣs)",,,,
𓌀,U+13300,(uꜣs),Iatet (a milk goddess) (ỉꜣtt),,,,
𓌁,S41,sceptre,Electrum (ḏꜥm),,,,
𓌁,U+13301,sceptre,Electrum (ḏꜥm),,,,
𓌂,S42,Sekhem,"Power, force (sḫm)",,,,
𓌂,U+13302,scepter,"ḫrp-scepter, control, direct (ḫrp)",,,,
𓌂,U+13302,scepter,ꜥbꜣ-scepter (ꜥbꜣ),,,,
𓌃,S43,walking stick,"Speak, word(s) (md(w))",,,,
𓌃,U+13303,walking stick,Staff (mdw),,,,
𓌄,S44,walking stick with flagellum,"Club, mace, ꜣms-scepter (ꜣms)",,,,
𓌄,U+13304,walking stick with flagellum,"Club, mace, ꜣms-scepter (ꜣms)",,,,
𓌅,S45,flagellum,Flail (nḫꜣḫꜣ),,,,
𓌅,U+13305,flagellum,Flail (nḫꜣḫꜣ),,,,
𓌆,S46,covering for head and neck,Flail (nḫꜣḫꜣ),,,,
𓌆,U+13306,covering for head and neck,Flail (nḫꜣḫꜣ),,,,
𓌇,T1,mace with flat head,0,,,,
𓌇,U+13307,mace with flat head,0,,,,
𓌈,T2,mace with round head,0,,,,
𓌈,U+13308,mace with round head,0,,,,
𓌉,T3,mace with round head,ḥḏ,,,,
𓌉,U+13309,mace with round head,ḥḏ,,,,
𓌊,T3A,combination of mace with round head and two hills,ḥḏ,,,,
𓌊,U+1330A,combination of mace with round head and two hills,ḥḏ,,,,
𓌋,T4,mace with strap,ḥḏ,,,,
𓌋,U+1330B,mace with strap,ḥḏ,,,,
𓌌,T5,combination of mace with round head and cobra,ḥḏ,,,,
𓌌,U+1330C,combination of mace with round head and cobra,ḥḏ,,,,
𓌍,T6,combination of mace with round head and two cobras,ḥḏ,,,,
𓌍,U+1330D,combination of mace with round head and two cobras,ḥḏ,,,,
𓌎,T7,axe,ḥḏ,,,,
𓌎,U+1330E,axe,ḥḏ,,,,
𓌏,T7A,axe,ḥḏ,,,,
𓌏,U+1330F,axe,ḥḏ,,,,
𓌐,T8,dagger,tp,,,,
𓌐,U+13310,dagger,tp,,,,
𓌐,U+13310,dagger,tp,,,,
𓌑,T8A,dagger,tp,,,,
𓌑,U+13311,dagger,tp,,,,
𓌒,T9,bow,pḏ,,,,
𓌒,U+13312,bow,pḏ,,,,
𓌓,T9A,bow,pḏ,,,,
𓌓,U+13313,bow,pḏ,,,,
𓌔,T10,composite bow,pḏ,,,,
𓌔,U+13314,composite bow,pḏ,,,,
𓌕,T11,arrow,pḏ,,,,
𓌕,U+13315,arrow,pḏ,,,,
𓌖,T11A,two crossed arrows,pḏ,,,,
𓌖,U+13316,two crossed arrows,pḏ,,,,
𓌗,T12,bowstring,rwḏ,,,,
𓌗,U+13317,bowstring,rwḏ,,,,
𓌗,U+13317,bowstring,rwḏ,,,,
𓌘,T13,joined pieces of wood,rs,,,,
𓌘,U+13318,joined pieces of wood,rs,,,,
𓌙,T14,throw stick vertically,rs,,,,
𓌙,U+13319,throw stick vertically,rs,,,,
𓌚,T15,throw stick slanted,rs,,,,
𓌚,U+1331A,throw stick slanted,rs,,,,
𓌛,T16,scimitar,rs,,,,
𓌛,U+1331B,scimitar,rs,,,,
𓌜,T16A,scimitar,rs,,,,
𓌜,U+1331C,scimitar,rs,,,,
𓌝,T17,chariot,wrrt,,,,
𓌝,U+1331D,chariot,wrrt,,,,
𓌞,T18,crook with package attached,wrrt,,,,
𓌞,U+1331E,crook with package attached,wrrt,,,,
𓌟,T19,harpoon head,gn,,,,
𓌟,U+1331F,harpoon head,gn,,,,
𓌠,T20,harpoon head,gn,,,,
𓌠,U+13320,harpoon head,gn,,,,
𓌡,T21,harpoon,wꜥ,,,,
𓌡,U+13321,harpoon,(bil.),,,,
𓌢,T22,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌢,U+13322,arrowhead,sn,,,,
𓌣,T23,arrowhead,sn,,,,
𓌣,U+13323,arrowhead,sn,,,,
𓌤,T24,fishingnet,iꜥḥ,,,,
𓌤,U+13324,fishingnet,iꜥḥ,,,,
𓌤,U+13324,fishingnet,iꜥḥ,,,,
𓌤,U+13324,fishingnet,iꜥḥ,,,,
𓌤,U+13324,fishingnet,iꜥḥ,,,,
𓌥,T25,float,ḏb,,,,
𓌥,U+13325,float,ḏbꜣ,,,,
𓌦,T26,birdtrap,ḏbꜣ,,,,
𓌦,U+13326,birdtrap,ḏbꜣ,,,,
𓌧,T27,trap,sḫt,,,,
𓌧,U+13327,trap,sḫt,,,,
𓌨,T28,butcher's block,ẖr,,,,
𓌨,U+13328,butcher's block,ẖr,,,,
𓌩,T29,butcher's block with knife,ẖr,,,,
𓌩,U+13329,butcher's block with knife,ẖr,,,,
𓌪,T30,knife,šꜥ,,,,
𓌪,U+1332A,knife,šꜥ,,,,
𓌫,T31,knife-sharpener,šꜥ,,,,
𓌫,U+1332B,knife-sharpener,šꜥ,,,,
𓌬,T32,combination of knife-sharpener and legs,šꜥ,,,,
𓌬,U+1332C,combination of knife-sharpener and legs,šꜥ,,,,
𓌭,T32A,combination of knife and folded cloth,šꜥ,,,,
𓌭,U+1332D,combination of knife and folded cloth,šꜥ,,,,
𓌮,T33,knife-sharpener of butcher,šꜥ,,,,
𓌮,U+1332E,knife-sharpener of butcher,šꜥ,,,,
𓌯,T33A,combination of knife-sharpener and folded cloth,šꜥ,,,,
𓌯,U+1332F,combination of knife-sharpener and folded cloth,šꜥ,,,,
𓌰,T34,butcher's knife,nm,,,,
𓌰,U+13330,butcher's knife,nm,,,,
𓌱,T35,butcher's knife,nm,,,,
𓌱,U+13331,butcher's knife,nm,,,,
𓌲,T36,shield,nm,,,,
𓌲,U+13332,shield,nm,,,,
𓌳,U1,sickle,0,,,,
𓌳,U+13333,sickle,0,,,,
𓌴,U2,sickle,0,,,,
𓌴,U+13334,sickle,0,,,,
𓌵,U3,sickle,0,,,,
𓌵,U+13335,sickle,0,,,,
𓌶,U4,sickle,0,,,,
𓌶,U+13336,sickle,0,,,,
𓌷,U5,sickle,0,,,,
𓌷,U+13337,sickle,0,,,,
𓌸,U6,sickle,0,,,,
𓌸,U+13338,sickle,0,,,,
𓌹,U6A,sickle,0,,,,
𓌹,U+13339,sickle,0,,,,
𓌺,U6B,sickle,0,,,,
𓌺,U+1333A,sickle,0,,,,
𓌻,U7,hoe,mr,,,,
𓌻,U+1333B,hoe,mr,,,,
𓌼,U8,hoe,mr,,,,
𓌼,U+1333C,hoe,mr,,,,
𓌽,U9,hoe,mr,,,,
𓌽,U+1333D,hoe,mr,,,,
𓌾,U10,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓌾,U+1333E,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓌿,U11,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓌿,U+1333F,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍀,U12,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍀,U+13340,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍁,U13,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍁,U+13341,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍂,U14,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍂,U+13342,"grain measure (with plural, for grain particles)",dbḥ,,,,
𓍃,U15,sled,tm,,,,
𓍃,U+13343,(sledge),tm,,,,
𓍄,U16,sled with jackal head,bjꜣ,,,,
𓍄,U+13344,sled with jackal head,bjꜣ,,,,
𓍅,U17,"Pick, opening earth",grg,,,,
𓍅,U+13345,"Pick, opening earth",gr,,,,
𓍆,U18,"Pick, opening earth",gr,,,,
𓍆,U+13346,"Pick, opening earth",gr,,,,
𓍇,U19,"Pick, opening earth",gr,,,,
𓍇,U+13347,"Pick, opening earth",gr,,,,
𓍈,U20,"Pick, opening earth",gr,,,,
𓍈,U+13348,"Pick, opening earth",gr,,,,
𓍉,U21,adze-,stp,,,,
𓍉,U+13349,on-block,stp,,,,
𓍊,U22,clapper-(of-bell),mnḫ,,,,
𓍊,U+1334A,tool/instrument,mnḫ,,,,
𓍊,U+1334A,"forked-staff, etc.",mnḫ,,,,
𓍊,U+1334A,"forked-staff, etc.",mnḫ,,,,
𓍊,U+1334A,"forked-staff, etc.",mnḫ,,,,
𓍊,U+1334A,"forked-staff, etc.",mnḫ,,,,
𓍋,U23,chisel,ꜣb,,,,
𓍋,U+1334B,chisel,mr,,,,
𓍌,U23A,chisel,mr,,,,
𓍌,U+1334C,chisel,mr,,,,
𓍍,U24,hand,ḥmt,,,,
𓍍,U+1334D,drill,ḥmt,,,,
𓍍,U+1334D,(hieroglyph),ḥmt,,,,
𓍎,U25,version of U24 (hand drill),ḥmt,,,,
𓍎,U+1334E,version of U24 (hand drill),ḥmt,,,,
𓍏,U26,version of U24 (hand drill),ḥmt,,,,
𓍏,U+1334F,version of U24 (hand drill),ḥmt,,,,
𓍐,U27,version of U24 (hand drill),ḥmt,,,,
𓍐,U+13350,version of U24 (hand drill),ḥmt,,,,
𓍑,U28,fire-drill,ḏꜣ,,,,
𓍑,U+13351,fire-drill,(bil.),,,,
𓍑,U+13351,fire-drill,(bil.),,,,
𓍒,U29,fire-drill,(bil.),,,,
𓍒,U+13352,fire-drill,(bil.),,,,
𓍓,U29A,fire-drill,(bil.),,,,
𓍓,U+13353,fire-drill,(bil.),,,,
𓍔,U30,kiln,tꜣ,,,,
𓍔,U+13354,kiln,tꜣ,,,,
𓍕,U31,kiln,tꜣ,,,,
𓍕,U+13355,kiln,tꜣ,,,,
𓍖,U32,kiln,tꜣ,,,,
𓍖,U+13356,kiln,tꜣ,,,,
𓍗,U32A,kiln,tꜣ,,,,
𓍗,U+13357,kiln,tꜣ,,,,
𓍘,U33,'pestle'-(curved top),tj,,,,
𓍘,U+13358,'pestle'-(curved top),tj,,,,
𓍙,U34,'pestle'-(curved top),tj,,,,
𓍙,U+13359,'pestle'-(curved top),tj,,,,
𓍚,U35,'pestle'-(curved top),ḫsf,,,,
𓍚,U+1335A,'pestle'-(curved top),ḫsf,,,,
𓍛,U36,fuller's-club,ḥm,,,,
𓍛,U+1335B,fuller's-club,(bil.),,,,
𓍜,U37,fuller's-club,(bil.),,,,
𓍜,U+1335C,fuller's-club,(bil.),,,,
𓍝,U38,scale,mḫꜣt,,,,
𓍝,U+1335D,scale,mḫꜣt,,,,
𓍞,U39,scale,mḫꜣt,,,,
𓍞,U+1335E,scale,mḫꜣt,,,,
𓍟,U40,a support-(to lift),mḫꜣt,,,,
𓍟,U+1335F,a support-(to lift),mḫꜣt,,,,
𓍠,U41,plummet,mḫꜣt,,,,
𓍠,U+13360,plummet,mḫꜣt,,,,
𓍡,U42,pitchfork,mḫꜣt,,,,
𓍡,U+13361,pitchfork,mḫꜣt,,,,
𓍢,V1,0,0,,,,
𓍢,U+13362,0,0,,,,
𓍣,V1A,0,0,,,,
𓍣,U+13363,0,0,,,,
𓍤,V1B,0,0,,,,
𓍤,U+13364,0,0,,,,
𓍥,V1C,0,0,,,,
𓍥,U+13365,0,0,,,,
𓍦,V1D,0,0,,,,
𓍦,U+13366,0,0,,,,
𓍧,V1E,0,0,,,,
𓍧,U+13367,0,0,,,,
𓍨,V1F,0,0,,,,
𓍨,U+13368,0,0,,,,
𓍩,V1G,0,0,,,,
𓍩,U+13369,0,0,,,,
𓍪,V1H,0,0,,,,
𓍪,U+1336A,0,0,,,,
𓍫,V1I,0,0,,,,
𓍫,U+1336B,0,0,,,,
𓍬,V2,0,0,,,,
𓍬,U+1336C,0,0,,,,
𓍭,V2A,0,0,,,,
𓍭,U+1336D,0,0,,,,
𓍮,V3,0,0,,,,
𓍮,U+1336E,0,0,,,,
𓍯,V4,lasso,wꜣ,,,,
𓍯,U+1336F,lasso,(bil.),,,,
𓍰,V5,lasso,(bil.),,,,
𓍰,U+13370,lasso,(bil.),,,,
𓍱,V6,rope-(shape),šs,,,,
𓍱,U+13371,rope-(shape),(bil.),,,,
𓍲,V7,rope-(shape),šn,,,,
𓍲,U+13372,rope-(shape),(bil.),,,,
𓍳,V7A,rope-(shape),(bil.),,,,
𓍳,U+13373,rope-(shape),(bil.),,,,
𓍴,V7B,rope-(shape),(bil.),,,,
𓍴,U+13374,rope-(shape),(bil.),,,,
𓍵,V8,rope-(shape),(bil.),,,,
𓍵,U+13375,rope-(shape),(bil.),,,,
𓍶,V9,shen,(bil.),,,,
𓍶,U+13376,ring,(bil.),,,,
𓍷,V10,cartouche,šn,,,,
𓍷,U+13377,cartouche,rn,,,,
𓍸,V11,cartouche-(divided),dn,,,,
𓍸,U+13378,cartouche-(divided),dn,,,,
𓍹,V11A,cartouche-(divided),dn,,,,
𓍹,U+13379,cartouche-(divided),dn,,,,
𓍺,V11B,cartouche-(divided),dn,,,,
𓍺,U+1337A,cartouche-(divided),dn,,,,
𓍻,V11C,cartouche-(divided),dn,,,,
𓍻,U+1337B,cartouche-(divided),dn,,,,
𓍼,V12,cartouche-(divided),dn,,,,
𓍼,U+1337C,cartouche-(divided),dn,,,,
𓍽,V12A,cartouche-(divided),dn,,,,
𓍽,U+1337D,cartouche-(divided),dn,,,,
𓍾,V12B,cartouche-(divided),dn,,,,
𓍾,U+1337E,cartouche-(divided),dn,,,,
𓍿,V13,tethering rope,dn,,,,
𓍿,U+1337F,tethering rope,dn,,,,
𓎀,V14,tethering rope,dn,,,,
𓎀,U+13380,tethering rope,dn,,,,
𓎁,V15,tethering rope w/ walking legs,jṯj,,,,
𓎁,U+13381,tethering rope w/ walking legs,jṯj,,,,
𓎂,V16,cattle,sꜣ,,,,
𓎂,U+13382,hobble,sꜣ,,,,
𓎂,U+13382,(bil.),sꜣ,,,,
𓎂,U+13382,(bil.),sꜣ,,,,
𓎃,V17,lifesaver,sꜣ,,,,
𓎃,U+13383,lifesaver,(bil.),,,,
𓎃,U+13383,lifesaver,(bil.),,,,
𓎃,U+13383,lifesaver,(bil.),,,,
𓎄,V18,lifesaver,(bil.),,,,
𓎄,U+13384,lifesaver,(bil.),,,,
𓎅,V19,lifesaver,(bil.),,,,
𓎅,U+13385,lifesaver,(bil.),,,,
𓎆,V20,"""cattle hobble""",mḏw,,,,
𓎆,U+13386,"""cattle hobble""",(also mḏ),,,,
𓎇,V20A,"""cattle hobble""",(also mḏ),,,,
𓎇,U+13387,"""cattle hobble""",(also mḏ),,,,
𓎈,V20B,"""cattle hobble""",(also mḏ),,,,
𓎈,U+13388,"""cattle hobble""",(also mḏ),,,,
𓎉,V20C,"""cattle hobble""",(also mḏ),,,,
𓎉,U+13389,"""cattle hobble""",(also mḏ),,,,
𓎊,V20D,"""cattle hobble""",(also mḏ),,,,
𓎊,U+1338A,"""cattle hobble""",(also mḏ),,,,
𓎋,V20E,"""cattle hobble""",(also mḏ),,,,
𓎋,U+1338B,"""cattle hobble""",(also mḏ),,,,
𓎌,V20F,"""cattle hobble""",(also mḏ),,,,
𓎌,U+1338C,"""cattle hobble""",(also mḏ),,,,
𓎍,V20G,"""cattle hobble""",(also mḏ),,,,
𓎍,U+1338D,"""cattle hobble""",(also mḏ),,,,
𓎎,V20H,"""cattle hobble""",(also mḏ),,,,
𓎎,U+1338E,"""cattle hobble""",(also mḏ),,,,
𓎏,V20I,"""cattle hobble""",(also mḏ),,,,
𓎏,U+1338F,"""cattle hobble""",(also mḏ),,,,
𓎐,V20J,"""cattle hobble""",(also mḏ),,,,
𓎐,U+13390,"""cattle hobble""",(also mḏ),,,,
𓎑,V20K,"""cattle hobble""",(also mḏ),,,,
𓎑,U+13391,"""cattle hobble""",(also mḏ),,,,
𓎒,V20L,"""cattle hobble""",(also mḏ),,,,
𓎒,U+13392,"""cattle hobble""",(also mḏ),,,,
𓎓,V21,Fetter + Cobra,"mḏ, mḏwt",,,,
𓎓,U+13393,Fetter + Cobra,"mḏ, mḏwt",,,,
𓎔,V22,whip,mḥ,,,,
𓎔,U+13394,whip,mḥ,,,,
𓎕,V23,whip,mḥ,,,,
𓎕,U+13395,whip,mḥ,,,,
𓎖,V23A,whip,mḥ,,,,
𓎖,U+13396,whip,mḥ,,,,
𓎗,V24,"""command staff"" (can also be circular)",mḥ,,,,
𓎗,U+13397,"""command staff"" (can also be circular)",mḥ,,,,
𓎘,V25,variant of V24 (can also be circular),wḏ,,,,
𓎘,U+13398,variant of V24 (can also be circular),(bil.),,,,
𓎙,V26,variant of V24 (can also be circular),(bil.),,,,
𓎙,U+13399,variant of V24 (can also be circular),(bil.),,,,
𓎚,V27,variant of V24 (can also be circular),(bil.),,,,
𓎚,U+1339A,variant of V24 (can also be circular),(bil.),,,,
𓎛,V28,a twisted wick,ḥ,,,,
𓎛,U+1339B,a twisted wick,ḥ,,,,
𓎛,U+1339B,a twisted wick,ḥ,,,,
𓎜,V28A,a twisted wick,ḥ,,,,
𓎜,U+1339C,a twisted wick,ḥ,,,,
𓎝,V29,(fiber),"sq, ḫsr",,,,
𓎝,U+1339D,swab,wꜣḥ,,,,
𓎝,U+1339D,(straw broom),wꜣḥ,,,,
𓎝,U+1339D,(straw broom),bil.-tril.,,,,
𓎝,U+1339D,(straw broom),bil. sq,,,,
𓎝,U+1339D,(straw broom),(tril. wꜣḥ,,,,
𓎞,V29A,(straw broom),(tril. wꜣḥ,,,,
𓎞,U+1339E,(straw broom),(tril. wꜣḥ,,,,
𓎟,V30,basket,nb,,,,
𓎟,U+1339F,(hieroglyph),(bil.),,,,
𓎟,U+1339F,(hieroglyph),(bil.),,,,
𓎠,V30A,(hieroglyph),(bil.),,,,
𓎠,U+133A0,(hieroglyph),(bil.),,,,
𓎡,V31,basket-,k,,,,
𓎡,U+133A1,with-handle,(unil.),,,,
𓎡,U+133A1,(hieroglyph),(unil.),,,,
𓎢,V31A,(hieroglyph),(unil.),,,,
𓎢,U+133A2,(hieroglyph),(unil.),,,,
𓎣,V32,(hieroglyph),(unil.),,,,
𓎣,U+133A3,(hieroglyph),(unil.),,,,
𓎤,V33,(hieroglyph),(unil.),,,,
𓎤,U+133A4,(hieroglyph),(unil.),,,,
𓎥,V33A,(hieroglyph),(unil.),,,,
𓎥,U+133A5,(hieroglyph),(unil.),,,,
𓎦,V34,(hieroglyph),(unil.),,,,
𓎦,U+133A6,(hieroglyph),(unil.),,,,
𓎧,V35,(hieroglyph),(unil.),,,,
𓎧,U+133A7,(hieroglyph),(unil.),,,,
𓎨,V36,doubled container,ḥnty,,,,
𓎨,U+133A8,(or-added-glyphs),ḥnty,,,,
𓎨,U+133A8,many spellings,ḥnty,,,,
𓎨,U+133A8,many spellings,ḥnty,,,,
𓎩,V37,many spellings,ḥnty,,,,
𓎩,U+133A9,many spellings,ḥnty,,,,
𓎪,V37A,many spellings,ḥnty,,,,
𓎪,U+133AA,many spellings,ḥnty,,,,
𓎫,V38,many spellings,ḥnty,,,,
𓎫,U+133AB,many spellings,ḥnty,,,,
𓎬,V39,?stylized ankh,ṯt,,,,
𓎬,U+133AC,(for Isis)(?),tyet,,,,
𓎭,V40,(for Isis)(?),tyet,,,,
𓎭,U+133AD,(for Isis)(?),tyet,,,,
𓎮,V40A,(for Isis)(?),tyet,,,,
𓎮,U+133AE,(for Isis)(?),tyet,,,,
𓎯,W1,Oil jar,"Ointment (mrḥt), oil",,,,
𓎯,U+133AF,Oil jar,"Ointment (mrḥt), oil",,,,
𓎰,W2,Oil-jar without ties,Bas-container (bꜣs),,,,
𓎰,U+133B0,Oil-jar without ties,Bas-container (bꜣs),,,,
𓎱,W3,alabaster,"alabaster (šs), festival (ḥꜣb)",,,,
𓎱,U+133B1,basin,"alabaster (šs), festival (ḥꜣb)",,,,
𓎱,U+133B1,basin,"alabaster (šs), festival (ḥꜣb)",,,,
𓎱,U+133B1,basin,"alabaster (šs), festival (ḥꜣb)",,,,
𓎲,W3A,alabaster,"alabaster (šs), festival (ḥꜣb)",,,,
𓎲,U+133B2,basin,"alabaster (šs), festival (ḥꜣb)",,,,
𓎳,W4,"festival chamber, (the tail is also vertical 'Great': ꜥꜣ)",festival (ḥb),,,,
𓎳,U+133B3,"festival chamber, (the tail is also vertical 'Great': ꜥꜣ)",festival (ḥb),,,,
𓎴,W5,"festival chamber, (the tail is also vertical 'Great': ꜥꜣ)",festival (ḥb),,,,
𓎴,U+133B4,"festival chamber, (the tail is also vertical 'Great': ꜥꜣ)",festival (ḥb),,,,
𓎵,W6,Metal vessel,boiler (wḥꜣt),,,,
𓎵,U+133B5,Metal vessel,boiler (wḥꜣt),,,,
𓎶,W7,Granite Bowl,red granite (mꜣṯ),,,,
𓎶,U+133B6,Granite Bowl,red granite (mꜣṯ),,,,
𓎷,W8,Granite Bowl,red granite (mꜣṯ),,,,
𓎷,U+133B7,Granite Bowl,red granite (mꜣṯ),,,,
𓎸,W9,stone jug,Nechnem-oil (nẖnm),,,,
𓎸,U+133B8,stone jug,Nechnem-oil (nẖnm),,,,
𓎹,W9A,stone jug,Nechnem-oil (nẖnm),,,,
𓎹,U+133B9,stone jug,Nechnem-oil (nẖnm),,,,
𓎺,W10,cup,determinative for goblet (jꜥb),,,,
𓎺,U+133BA,cup,determinative for goblet (jꜥb),,,,
𓎺,U+133BA,cup,determinative for goblet (jꜥb),,,,
𓎺,U+133BA,cup,determinative for goblet (jꜥb),,,,
𓎻,W10A,Pot,determinative for goblet (jꜥb),,,,
𓎻,U+133BB,Pot,determinative for goblet (jꜥb),,,,
𓎼,W11,Jar stand,seat (nst),,,,
𓎼,U+133BC,Jar stand,seat (nst),,,,
𓎽,W12,Jar stand,seat (nst),,,,
𓎽,U+133BD,Jar stand,seat (nst),,,,
𓎾,W13,pot,"Heset-pitcher, Senbet-pitcher (snbt) or similar containers",,,,
𓎾,U+133BE,pot,"Heset-pitcher, Senbet-pitcher (snbt) or similar containers",,,,
𓎿,W14,water jar,"side area (jmw), side (gs)",,,,
𓎿,U+133BF,water jar,"side area (jmw), side (gs)",,,,
